Date,Open,High,Low,Close,Adj Close,Volume
5/1/2022,201.169998,224.300003,176.110001,193.639999,193.639999,680548800
6/1/2022,196.509995,202.029999,154.250000,161.250000,161.250000,685975600
7/1/2022,160.309998,183.850006,154.850006,159.100006,159.100006,586482400
8/1/2022,157.250000,183.100006,155.229996,162.929993,162.929993,551922900
9/1/2022,163.580002,171.389999,134.119995,135.679993,135.679993,635014800
10/1/2022,137.139999,142.389999,92.599998,93.160004,93.160004,1107662200
11/1/2022,94.330002,118.739998,88.089996,118.099998,118.099998,1063791200
12/1/2022,119.199997,124.669998,112.459999,120.339996,120.339996,653019800
1/1/2023,122.820000,153.190002,122.279999,148.970001,148.970001,548770600
2/2/2023,148.029999,197.160004,147.059998,174.940002,174.940002,772170900
3/1/2023,174.589996,212.169998,171.429993,211.940002,211.940002,690041300
4/1/2023,208.839996,216.940002,208.199997,216.100006,216.100006,84452000
4/6/2023,209.250000,216.940002,208.649994,216.100006,216.100006,26104411
