Date,Open,High,Low,Close,Adj Close,Volume
4/11/2022,218.419998,222.029999,210,210.179993,210.179993,78256700
4/18/2022,210,218.429993,183.270004,184.110001,184.110001,166088100
4/25/2022,182.729996,212.479996,169,200.470001,200.470001,282175400
5/2/2022,201.169998,224.300003,200.990005,203.770004,203.770004,208723900
5/9/2022,199.839996,202.960007,184.779999,198.619995,198.619995,164721100
5/16/2022,197.050003,205.460007,187.869995,193.539993,193.539993,131857800
5/23/2022,195.190002,196.990005,176.110001,195.130005,195.130005,149114900
5/30/2022,194.889999,200.940002,185,190.779999,190.779999,114171200
6/6/2022,193.990005,202.029999,175.020004,175.570007,175.570007,122622500
6/13/2022,170.589996,172.580002,159.610001,163.740005,163.740005,147320200
6/20/2022,165.929993,170.25,154.25,170.160004,170.160004,207227900
6/27/2022,171.320007,171.75,155,160.029999,160.029999,152188800
7/4/2022,158.139999,172.720001,157.020004,170.880005,170.880005,95037100
7/11/2022,167.070007,167.490005,157.279999,164.699997,164.699997,102188400
7/18/2022,166.75,183.850006,165.639999,169.270004,169.270004,144072000
7/25/2022,169,170.869995,154.850006,159.100006,159.100006,213761000
8/1/2022,157.25,172.149994,155.229996,167.110001,167.110001,149464000
8/8/2022,168,183.100006,166.600006,180.5,180.5,121569400
8/15/2022,178.960007,181.440002,167.050003,167.960007,167.960007,102238800
8/22/2022,165.490005,170.919998,159.770004,161.779999,161.779999,98077100
8/29/2022,160.660004,167.929993,155.910004,160.320007,160.320007,133353500
9/5/2022,160.100006,169.539993,156.809998,169.149994,169.149994,80788600
9/12/2022,167.389999,171.389999,144.289993,146.289993,146.289993,185457800
9/19/2022,145.240005,149.600006,138.889999,140.410004,140.410004,149854700
9/26/2022,140.119995,142.240005,134.119995,135.679993,135.679993,166133800
10/3/2022,137.139999,142.389999,132.440002,133.449997,133.449997,159819000
10/10/2022,133.550003,136.110001,122.529999,126.760002,126.760002,154995700
10/17/2022,130.300003,137.839996,125.440002,130.009995,130.009995,158453100
10/24/2022,127.25,138.350006,96.379997,99.199997,99.199997,513033000
10/31/2022,98.220001,99.32,88.089996,90.790001,90.790001,419674200
11/7/2022,94.779999,114.900002,93.099998,113.019997,113.019997,382385600
11/14/2022,110.989998,118.739998,109.800003,112.050003,112.050003,205804800
11/21/2022,111.519997,112.730003,108.32,111.410004,111.410004,86730800
11/28/2022,110.779999,124.040001,108.379997,123.489998,123.489998,167059100
12/5/2022,121.75,124.669998,112.879997,115.900002,115.900002,165278000
12/12/2022,115.18,124.139999,113.139999,119.43,119.43,207965200
12/19/2022,116.830002,120.339996,112.459999,118.040001,118.040001,120319900
12/26/2022,117.93,121.029999,115.510002,120.339996,120.339996,82954800
1/2/2023,122.82,130.330002,122.279999,130.020004,130.020004,120957200
1/9/2023,131.160004,137.679993,127.150002,136.979996,136.979996,133938000
1/16/2023,136.179993,139.940002,132.139999,139.369995,139.369995,98676900
1/23/2023,139.289993,153.190002,138.660004,151.740005,151.740005,137316300
1/30/2023,149.410004,197.160004,146.949997,186.529999,186.529999,340828600
2/6/2023,186.529999,193.779999,173.350006,174.149994,174.149994,196256000
2/13/2023,178.220001,181.509995,169.699997,172.880005,172.880005,130805500
2/20/2023,174.309998,178.169998,167.660004,170.389999,170.389999,96834900
2/27/2023,171.880005,186.619995,169.059998,185.25,185.25,159556200
3/6/2023,188,190.360001,178.800003,179.509995,179.509995,141591100
3/13/2023,177.960007,205.759995,174.820007,195.610001,195.610001,209082400
3/20/2023,198.479996,207.880005,193.639999,206.009995,206.009995,140613800
3/27/2023,204.809998,212.169998,197.899994,211.940002,211.940002,104525900
4/3/2023,208.839996,216.940002,208.199997,216.100006,216.100006,84452000
4/6/2023,209.25,216.940002,208.649994,216.100006,216.100006,26104411
