Date,Open,High,Low,Close,Adj Close,Volume
4/11/2022,131.823502,132.092499,128.668503,128.823502,128.823502,36884000
4/12/2022,131.600006,131.600006,126.789001,127.7145,127.7145,32710000
4/13/2022,128,130.334,127.740997,129.893997,129.893997,27928000
4/14/2022,130.479507,130.479507,126.600998,126.730003,126.730003,31598000
4/18/2022,127,128.212494,126.181999,127.676498,127.676498,20808000
4/19/2022,127.691498,130.332993,126.999496,130.009003,130.009003,26490000
4/20/2022,130.891998,131.399002,127.5,128.039993,128.039993,31696000
4/21/2022,129.25,130.098495,124.526497,124.814499,124.814499,36446000
4/22/2022,125,125.402,118.925003,119.635498,119.635498,56884000
4/25/2022,119.100998,123.277496,118.511002,123.073997,123.073997,46128000
4/26/2022,122.294502,122.510002,118.511002,118.650002,118.650002,73054000
4/27/2022,114.469498,117.241997,112.736504,114.294502,114.294502,91820000
4/28/2022,116.415001,119.649498,114.114998,118.522499,118.522499,48884000
4/29/2022,116.734497,117.919998,113.814499,114.109497,114.109497,42676000
5/2/2022,113.404999,116.745499,112.599998,116.583,116.583,35534000
5/3/2022,116.430496,118.442001,116.0345,117.334,117.334,24968000
5/4/2022,117.031502,122.8545,115.115997,122.261002,122.261002,49916000
5/5/2022,120.204002,121.039001,115.005501,116.505501,116.505501,45840000
5/6/2022,115.184502,117.571503,114.015503,115.746498,115.746498,39710000
5/9/2022,113.25,115.077003,112.000504,112.511002,112.511002,40802000
5/10/2022,115.5075,116.25,112.900497,114.394997,114.394997,39900000
5/11/2022,113.236504,116.364502,113.236504,113.602501,113.602501,37534000
5/12/2022,111.377502,114.294998,109.824501,112.844002,112.844002,53836000
5/13/2022,114.532997,117.875,113.605003,116.050499,116.050499,35038000
5/16/2022,114.955498,116.169998,113.889503,114.445,114.445,25990000
5/17/2022,116.8405,116.900002,114.870003,116.473,116.473,23054000
5/18/2022,115,115.400002,111.555496,111.899498,111.899498,35126000
5/19/2022,111.431503,113.010002,110,110.384003,110.384003,34144000
5/20/2022,111.950996,112.183502,105.796501,108.907997,108.907997,48962000
5/23/2022,109.587502,112.147499,108.740997,111.487999,111.487999,37184000
5/24/2022,105.772003,106.458504,101.884499,105.970001,105.970001,76780000
5/25/2022,104.985497,106.5,103.856499,105.805,105.805,40258000
5/26/2022,105.677002,108.649498,105.224998,107.792503,107.792503,37948000
5/27/2022,109.483002,112.318001,109.138496,112.316498,112.316498,37914000
5/31/2022,112.746498,115.735001,112.078499,113.762001,113.762001,50012000
6/1/2022,114.855003,117.101501,113.25,113.891998,113.891998,36606000
6/2/2022,114,117.899498,112.946503,117.622498,117.622498,37992000
6/3/2022,116.0625,116.321503,113.518501,114.541,114.541,26136000
6/6/2022,116.704498,119.347,116.164001,116.820503,116.820503,33542000
6/7/2022,115.480499,117.691002,115.052002,117.149498,117.149498,31590000
6/8/2022,116.761497,118.570503,116.599998,117.194,117.194,26108000
6/9/2022,116.327499,118.299004,114.776001,114.835503,114.835503,25798000
6/10/2022,112.445,113.278999,110.365997,111.161499,111.161499,41452000
6/13/2022,106.786499,108.791496,106.119003,106.392502,106.392502,47252000
6/14/2022,106.535004,107.9245,105.800003,106.7155,106.7155,33706000
6/15/2022,108.544998,111.4235,107.669502,109.764503,109.764503,39698000
6/16/2022,107.221001,108.648499,105.138,106.033501,106.033501,51684000
6/17/2022,106.033501,108.699501,105.045998,107.143501,107.143501,51376000
6/21/2022,108.929497,112.489502,108.599998,111.543999,111.543999,47416000
6/22/2022,110.556503,113.346497,110.3825,111.487503,111.487503,30774000
6/23/2022,112.231499,112.7425,110.500504,112.241997,112.241997,28362000
6/24/2022,112.995003,118.079002,112.952499,117.974998,117.974998,41164000
6/27/2022,118.273003,118.579498,115.179497,115.833504,115.833504,36420000
6/28/2022,115.802498,117.309502,111.848,112.0075,112.0075,35792000
6/29/2022,111.552002,113.1605,110.872498,111.7015,111.7015,24716000
6/30/2022,110,110.888,106.75,108.962997,108.962997,43170000
7/1/2022,107.932999,109.25,106.730499,108.737503,108.737503,35476000
7/5/2022,107.100502,113.376999,105.731499,113.263,113.263,39342000
7/6/2022,113.302002,115.5895,111.475998,114.571999,114.571999,37432000
7/7/2022,115.080002,119.189499,114.833504,118.782997,118.782997,40936000
7/8/2022,117.25,119.684998,116.901497,119.3535,119.3535,38238000
7/11/2022,117.998001,117.998001,115.330498,115.676498,115.676498,31196000
7/12/2022,116.214996,116.973999,113.690002,114.0205,114.0205,29960000
7/13/2022,111.700996,114.195999,111.2015,111.3535,111.3535,43722000
7/14/2022,110.210503,111.093002,108.373001,110.3675,110.3675,37004000
7/15/2022,112.000504,113.140503,110.900002,111.777496,111.777496,46770000
7/18/2022,112.639999,113.68,108.370003,109.029999,109.029999,43164600
7/19/2022,110.849998,114.019997,109.559998,113.809998,113.809998,36530900
7/20/2022,113.169998,115.400002,112.480003,113.900002,113.900002,35600400
7/21/2022,114.279999,114.550003,111.110001,114.339996,114.339996,32676200
7/22/2022,111,112.339996,106.5,107.900002,107.900002,48901200
7/25/2022,108.410004,109.870003,106.300003,107.510002,107.510002,34690900
7/26/2022,106.599998,107.199997,104.07,105.019997,105.019997,47991000
7/27/2022,109.260002,113.910004,108.010002,113.059998,113.059998,59858500
7/28/2022,112.370003,114.339996,111.459999,114.220001,114.220001,32816600
7/29/2022,113.080002,116.709999,113.059998,116.32,116.32,37223400
8/1/2022,115.300003,116.720001,114.339996,114.860001,114.860001,26034300
8/2/2022,114,116.349998,113.720001,115.129997,115.129997,20236000
8/3/2022,115.709999,118.620003,115.480003,118.080002,118.080002,28499000
8/4/2022,117.480003,118.779999,116.889999,118.190002,118.190002,21602900
8/5/2022,116.230003,118.110001,116,117.470001,117.470001,19159500
8/8/2022,118.389999,120.150002,116.879997,117.300003,117.300003,19138300
8/9/2022,117.139999,117.32,115.709999,116.629997,116.629997,19086500
8/10/2022,118.779999,120.919998,118.410004,119.699997,119.699997,30930400
8/11/2022,121.279999,121.489998,118.559998,118.839996,118.839996,24293700
8/12/2022,120.260002,121.68,119.459999,121.68,121.68,19096300
8/15/2022,121.129997,122.300003,120.610001,122.080002,122.080002,19494800
8/16/2022,121.519997,122.43,120.639999,121.699997,121.699997,19041200
8/17/2022,120.120003,121.290001,119.379997,119.550003,119.550003,22847000
8/18/2022,119.43,120.82,118.720001,120.169998,120.169998,17987700
8/19/2022,119.059998,119.150002,116.760002,117.209999,117.209999,21809500
8/22/2022,115.199997,115.629997,113.849998,114.239998,114.239998,21456600
8/23/2022,113.480003,115.010002,113.43,113.860001,113.860001,15870400
8/24/2022,113.5,114.779999,112.870003,113.690002,113.690002,17734600
8/25/2022,114.239998,116.720001,114.110001,116.650002,116.650002,16956800
8/26/2022,114.720001,115.120003,110.190002,110.339996,110.339996,37245700
8/29/2022,109.989998,110.949997,108.800003,109.419998,109.419998,21191200
8/30/2022,110.169998,110.5,107.800003,108.940002,108.940002,27513300
8/31/2022,110.650002,110.849998,108.129997,108.220001,108.220001,28627000
9/1/2022,108.279999,110.449997,107.360001,109.739998,109.739998,28360900
