Date,Open,High,Low,Close,Adj Close,Volume
5/1/2022,277.709991,290.880005,246.440002,271.869995,269.228760,742902000
6/1/2022,275.200012,277.690002,241.509995,256.829987,254.927231,621372300
7/1/2022,256.390015,282.000000,245.940002,280.739990,278.660126,534891800
8/1/2022,277.820007,294.179993,260.660004,261.470001,259.532867,477157600
9/1/2022,258.869995,267.450012,232.729996,232.899994,231.665237,575586600
10/1/2022,235.410004,251.039993,219.130005,232.130005,230.899323,671225100
11/1/2022,234.600006,255.330002,213.429993,255.139999,253.787338,615296000
12/1/2022,253.869995,263.920013,233.869995,239.820007,239.220825,591358700
1/1/2023,243.080002,249.830002,219.350006,247.809998,247.190857,666168100
2/1/2023,248.000000,276.760010,245.470001,249.419998,248.796829,615501000
3/1/2023,250.759995,289.269989,245.610001,288.299988,288.299988,747543200
4/1/2023,286.519989,292.079987,282.029999,291.600006,291.600006,102542700
4/6/2023,283.209991,292.079987,282.029999,291.600006,291.600006,29770334
